timestamp,heart_rate_bpm
2025-09-15 08:00:00,72
2025-09-15 08:01:00,69
2025-09-15 08:02:00,75
2025-09-15 08:03:00,76
2025-09-15 08:04:00,68
2025-09-15 08:05:00,70
2025-09-15 08:06:00,75
2025-09-15 08:07:00,74
2025-09-15 08:08:00,76
2025-09-15 08:09:00,73
2025-09-15 08:10:00,79
2025-09-15 08:11:00,79
2025-09-15 08:12:00,77
2025-09-15 08:13:00,81
2025-09-15 08:14:00,79
2025-09-15 08:15:00,76
2025-09-15 08:16:00,80
2025-09-15 08:17:00,76
2025-09-15 08:18:00,82
2025-09-15 08:19:00,79
2025-09-15 08:20:00,79
2025-09-15 08:21:00,77
2025-09-15 08:22:00,83
2025-09-15 08:23:00,79
2025-09-15 08:24:00,78
2025-09-15 08:25:00,78
2025-09-15 08:26:00,81
2025-09-15 08:27:00,80
2025-09-15 08:28:00,80
2025-09-15 08:29:00,80
2025-09-15 08:30:00,85
2025-09-15 08:31:00,77
2025-09-15 08:32:00,77
2025-09-15 08:33:00,76
2025-09-15 08:34:00,79
2025-09-15 08:35:00,81
2025-09-15 08:36:00,77
2025-09-15 08:37:00,74
2025-09-15 08:38:00,74
2025-09-15 08:39:00,78
2025-09-15 08:40:00,77
2025-09-15 08:41:00,76
2025-09-15 08:42:00,72
2025-09-15 08:43:00,74
2025-09-15 08:44:00,74
2025-09-15 08:45:00,73
2025-09-15 08:46:00,75
2025-09-15 08:47:00,72
2025-09-15 08:48:00,73
2025-09-15 08:49:00,71
2025-09-15 08:50:00,71
2025-09-15 08:51:00,71
2025-09-15 08:52:00,65
2025-09-15 08:53:00,67
2025-09-15 08:54:00,67
2025-09-15 08:55:00,66
2025-09-15 08:56:00,66
2025-09-15 08:57:00,71
2025-09-15 08:58:00,64
2025-09-15 08:59:00,69
2025-09-15 09:00:00,60
2025-09-15 09:01:00,64
2025-09-15 09:02:00,65
2025-09-15 09:03:00,66
2025-09-15 09:04:00,66
2025-09-15 09:05:00,66
2025-09-15 09:06:00,63
2025-09-15 09:07:00,62
2025-09-15 09:08:00,66
2025-09-15 09:09:00,63
2025-09-15 09:10:00,60
2025-09-15 09:11:00,60
2025-09-15 09:12:00,61
2025-09-15 09:13:00,65
2025-09-15 09:14:00,64
2025-09-15 09:15:00,66
2025-09-15 09:16:00,63
2025-09-15 09:17:00,65
2025-09-15 09:18:00,66
2025-09-15 09:19:00,64
2025-09-15 09:20:00,66
2025-09-15 09:21:00,63
2025-09-15 09:22:00,65
2025-09-15 09:23:00,65
2025-09-15 09:24:00,63
2025-09-15 09:25:00,68
2025-09-15 09:26:00,66
2025-09-15 09:27:00,68
2025-09-15 09:28:00,70
2025-09-15 09:29:00,70
2025-09-15 09:30:00,71
2025-09-15 09:31:00,69
2025-09-15 09:32:00,69
2025-09-15 09:33:00,71
2025-09-15 09:34:00,66
2025-09-15 09:35:00,68
2025-09-15 09:36:00,68
2025-09-15 09:37:00,70
2025-09-15 09:38:00,75
2025-09-15 09:39:00,71
2025-09-15 09:40:00,73
2025-09-15 09:41:00,79
2025-09-15 09:42:00,74
2025-09-15 09:43:00,78
2025-09-15 09:44:00,74
2025-09-15 09:45:00,76
2025-09-15 09:46:00,74
2025-09-15 09:47:00,76
2025-09-15 09:48:00,80
2025-09-15 09:49:00,73
2025-09-15 09:50:00,80
2025-09-15 09:51:00,79
2025-09-15 09:52:00,77
2025-09-15 09:53:00,75
2025-09-15 09:54:00,79
2025-09-15 09:55:00,78
2025-09-15 09:56:00,80
2025-09-15 09:57:00,80
2025-09-15 09:58:00,84
2025-09-15 09:59:00,79
2025-09-15 10:00:00,76
2025-09-15 10:01:00,80
2025-09-15 10:02:00,80
2025-09-15 10:03:00,83
2025-09-15 10:04:00,81
2025-09-15 10:05:00,80
2025-09-15 10:06:00,83
2025-09-15 10:07:00,74
2025-09-15 10:08:00,76
2025-09-15 10:09:00,75
2025-09-15 10:10:00,76
2025-09-15 10:11:00,72
2025-09-15 10:12:00,78
2025-09-15 10:13:00,75
2025-09-15 10:14:00,71
2025-09-15 10:15:00,72
2025-09-15 10:16:00,75
2025-09-15 10:17:00,76
2025-09-15 10:18:00,79
2025-09-15 10:19:00,82
2025-09-15 10:20:00,73
2025-09-15 10:21:00,69
2025-09-15 10:22:00,65
2025-09-15 10:23:00,71
2025-09-15 10:24:00,68
2025-09-15 10:25:00,68
2025-09-15 10:26:00,67
2025-09-15 10:27:00,68
2025-09-15 10:28:00,71
2025-09-15 10:29:00,68
2025-09-15 10:30:00,67
2025-09-15 10:31:00,64
2025-09-15 10:32:00,61
2025-09-15 10:33:00,64
2025-09-15 10:34:00,65
2025-09-15 10:35:00,70
2025-09-15 10:36:00,65
2025-09-15 10:37:00,68
2025-09-15 10:38:00,63
2025-09-15 10:39:00,61
2025-09-15 10:40:00,61
2025-09-15 10:41:00,62
2025-09-15 10:42:00,70
2025-09-15 10:43:00,61
2025-09-15 10:44:00,66
2025-09-15 10:45:00,61
2025-09-15 10:46:00,66
2025-09-15 10:47:00,65
2025-09-15 10:48:00,63
2025-09-15 10:49:00,64
2025-09-15 10:50:00,62
2025-09-15 10:51:00,65
2025-09-15 10:52:00,63
2025-09-15 10:53:00,61
2025-09-15 10:54:00,61
2025-09-15 10:55:00,66
2025-09-15 10:56:00,70
2025-09-15 10:57:00,66
2025-09-15 10:58:00,66
2025-09-15 10:59:00,68
